1,「まるちゃんきょうだいげんかをする」の巻「まるちゃんはまだおとそ気分」の巻,"January 7, 1990"
2,「家庭教師がやってきた」の巻「まるちゃん目覚まし時計を買う」の巻,"January 14, 1990"
3,「今日は家庭訪問」の巻「生き物係のキザ野郎参上」の巻,"January 21, 1990"
4,「まるちゃん自転車の練習をする」の巻,"January 28, 1990"
5,「まるちゃん賞状をもらう」の巻「まるちゃんカゼをひく」の巻,"February 4, 1990"
6,「まるちゃんたち犬をひろう」の巻,"February 11, 1990"
7,「みんなでフランス料理を食べに行く」の巻「まるちゃんはマラソンがイヤ」の巻,"February 18, 1990"
8,「悲しきバレンタインデー」の巻「花輪君子供歌合戦に出場する」の巻,"February 25, 1990"
9,「まるちゃん笛の練習をする」の巻「雪を食べたい」の巻,"March 4, 1990"
10,「まるちゃん遠くのしんせきの家に行く」の巻,"March 11, 1990"
11,「避難訓練に余念のない県民」の巻「まるちゃん通信簿をもらう」の巻,"March 18, 1990"
12,「まぼろしの“ツチノコ株式会社”」の巻「まるちゃんは遠足の準備が好き」の巻,"March 25, 1990"
13,「まるちゃん遠足に行く」の巻,"April 1, 1990"
14,「あこがれの鼻血」の巻「ふたりだけの留守番」の巻,"April 8, 1990"
15,「丸尾君学級委員選挙いよいよ出馬」の巻,"April 15, 1990"
16,「まるちゃん盲腸になる」の巻「まるちゃん占いをされる」の巻,"April 22, 1990"
17,「まるちゃん小鳥がほしくなる」の巻「まるちゃんお誕生会を開く」の巻,"April 29, 1990"
18,「おかあさんの宝物」の巻「まるちゃん深夜の宴会」の巻,"May 6, 1990"
19,「おかあさんの日」の巻,"May 13, 1990"
20,「月のオリエンタル小僧」の巻「ゆううつな参観日」の巻,"May 20, 1990"
21,「まるちゃん学芸会に出る」の巻,"May 27, 1990"
22,「まるちゃん文通をはじめる」の巻「自習時間大好き」の巻,"June 3, 1990"
23,「まるちゃんの町は大洪水」の巻,"June 10, 1990"
24,「まるちゃん虫歯が痛い」の巻「ああ身体検査」の巻,"June 17, 1990"
25,「まるちゃん学校でお腹が痛くなる」の巻,"June 24, 1990"
26,「プールびらき」の巻,"July 1, 1990"
27,「七夕の願い事」の巻,"July 8, 1990"
28,「まるちゃん傘を買ってもらう」の巻「まるちゃんの夏の思い出」の巻,"July 15, 1990"
29,「まるちゃんの家のお風呂がこわれた」の巻「おっちゃんの魔法カード」の巻,"July 22, 1990"
30,「まるちゃんは夏休みも学校へ通う」の巻,"July 29, 1990"
31,「まるちゃん南の島へ行く」の巻前編,"Augus 5, 1990"
32,「まるちゃん南の島へ行く」の巻後編,"Augus 12, 1990"
33,「まるちゃんお化け屋敷に行く」の巻,"Augus 19, 1990"
34,「宿題をためたまる子ちゃん」の巻,"Augus 26, 1990"
35,「まるちゃん写真屋さんに行く」の巻「嵐の夜の出来事」の巻,"Sepember 2, 1990"
36,「まるちゃん熱帯魚を買う」の巻,"Sepember 9, 1990"
37,「おかっぱ・かっぱ」の巻,"Sepember 16, 1990"
38,「まるちゃんハイキングに行く」の巻,"Sepember 23, 1990"
39,「まるちゃんお金を見つける」の巻,"Sepember 30, 1990"
40,「男子対女子大戦争」の巻,"Ocober 7, 1990"
41,「まるちゃん席替えをする」の巻「まるちゃん飲み屋さんに行く」の巻,"Ocober 14, 1990"
42,「まるちゃんブロマイドをなくす」の巻,"Ocober 21, 1990"
43,「まるちゃん実験をする」の巻,"Ocober 28, 1990"
44,「まるちゃんの“星に願いを”」の巻,"November 4, 1990"
45,「いとこの七五三」の巻,"November 11, 1990"
46,「恐怖のにわとり小屋そうじ」の巻「一人っきりの日曜日」の巻,"November 18, 1990"
47,「お父さんとお母さんけんかする」の巻,"November 25, 1990"
48,「まるちゃん自分の部屋が欲しくなる」の巻,"December 2, 1990"
49,「まるちゃん年賀状を書く」の巻,"December 9, 1990"
50,「うちはびんぼう」の巻,"December 16, 1990"
51,「まるちゃんクリスマス会に参加する」の巻,"December 23, 1990"
52,「年越しまる子ちゃん」の巻,"December 30, 1990"
53,「いつものお正月」の巻,"January 6, 1991"
54,「まるちゃん眠れない夜」の巻,"January 13, 1991"
55,「子供は風の子」の巻,"January 20, 1991"
56,「まるちゃんご機嫌な一日」の巻,"January 27, 1991"
57,「まる子豆まきをする」の巻,"February 3, 1991"
58,「まるちゃんデパートで迷子になる」の巻,"February 10, 1991"
59,「まるちゃんの風船物語」の巻,"February 17, 1991"
60,「憧れの学級閉鎖」の巻,"February 24, 1991"
61,「まるちゃんおひな祭りに呼ばれる」の巻,"March 3, 1991"
62,「口笛が聞こえる」の巻,"March 10, 1991"
63,「放課後の学級会」の巻,"March 17, 1991"
64,「まるちゃんの水栽培」の巻,"March 24, 1991"
65,「まるちゃんヘルスセンターに行く」の巻,"March 31, 1991"
66,「まるちゃんお花見に行く」の巻,"April 7, 1991"
67,「まる子達一年生の世話をやく」の巻,"April 14, 1991"
68,「まるちゃん作文を書く」の巻,"April 21, 1991"
69,「まる子ノストラダムスの予言を気にする」の巻,"April 28, 1991"
70,「まるちゃん子供の日」の巻,"May 5, 1991"
71,「おじいちゃんベルトクイズに出る」の巻前編,"May 12, 1991"
72,「おじいちゃんベルトクイズに出る」の巻後編,"May 19, 1991"
73,「まる子プラネタリウムに行く」の巻,"May 26, 1991"
74,「まるちゃん学級新聞を作る」の巻,"June 2, 1991"
75,「まるちゃんは名探偵」の巻,"June 9, 1991"
76,「まる子プリマドンナに憧れる」の巻「まる子耳かきぐせが直らない」の巻,"June 16, 1991"
77,「まる子百恵ちゃんのコンサートに行く」の巻,"June 23, 1991"
78,「まるちゃん結婚式に出席する」の巻,"June 30, 1991"
79,「まるちゃんの七夕映画会」の巻「賞金万円の使い道」の巻,"July 7, 1991"
80,「まる子洋服を作ってもらう」の巻「まる子かき氷を作る」の巻,"July 14, 1991"
81,「まる子まぼろしの洋館を見る」の巻,"July 28, 1991"
82,「まるちゃんお泊まりに行く」の巻,"Augus 4, 1991"
83,「まるちゃんラジオ体操がイヤで仕方無い」の巻,"Augus 11, 1991"
84,「まる子双子がうらやましい」の巻,"Augus 18, 1991"
85,「まる子神社の大掃除をする」の巻「まる子夏休みのお天気調べを忘れる」の巻,"Augus 25, 1991"
86,「まる子南の島のおみやげ分配に困る」の巻,"Sepember 1, 1991"
87,「まる子はまじとウワサになる」の巻,"Sepember 8, 1991"
88,「おじいちゃんの世界一周」の巻,"Sepember 15, 1991"
89,「まる子遊園地に行く」の巻,"Sepember 22, 1991"
90,「家庭内カルチャー教室」の巻,"Sepember 29, 1991"
91,「まるちゃん社会科見学に行く」の巻,"Ocober 6, 1991"
92,「まる子松茸を食べる」の巻「まる子泡風呂に憧れる」の巻,"Ocober 13, 1991"
93,「お楽しみ給食会」の巻,"Ocober 20, 1991"
94,「誘拐犯に気をつけろ」の巻,"Ocober 27, 1991"
95,「お父さんミリカメラを借りてくる」の巻,"November 3, 1991"
96,「まる子お祭りに行く」の巻「女の子・男の子」の巻,"November 10, 1991"
97,「まる子みんなにばかにされる」の巻,"November 17, 1991"
98,「まる子みかん狩りに行く」の巻,"November 24, 1991"
99,「学校のバザー」の巻,"December 1, 1991"
100,「花輪邸ついに公開」の巻,"December 8, 1991"
101,「花輪クンちに来た友人帰る」の巻,"December 15, 1991"
102,「家庭内クリスマス」の巻,"December 22, 1991"
103,「自家製洗濯石鹸」の巻「お母さん鮎の甘露煮を作る」の巻,"December 29, 1991"
104,「まる子凧上げをする」の巻「まる子七草がゆが食べたい」の巻,"January 5, 1992"
105,「まる子の貯金通帳」の巻「まる子編み物をする」の巻,"January 12, 1992"
106,「まる子湯たんぽを欲しがる」の巻,"January 19, 1992"
107,「学校のスケート教室」の巻,"January 26, 1992"
108,「町にへび屋がやって来た」の巻「まる子甘酒ばかり飲む」の巻,"February 2, 1992"
109,「みどりちゃんのバレンタインデー」の巻,"February 9, 1992"
110,「まる子星の砂が欲しい」の巻「まる子雀の餌づけをする」の巻,"February 16, 1992"
111,「みやこお姉ちゃんの赤ちゃん」の巻,"February 23, 1992"
112,「先生の家に遊びに行こう」の巻,"March 1, 1992"
113,「まる子ノラ犬に追いかけられる」の巻,"March 8, 1992"
114,「丸尾君と花輪君」の巻「我が家に白アリが」の巻,"March 15, 1992"
115,「まる子鯉の放流に参加する」の巻「花粉症騒動」の巻,"March 22, 1992"
116,「永沢君の家、火事になる」の巻,"March 29, 1992"
117,「永沢君ちの火事見舞い」の巻,"April 5, 1992"
118,「まる子不幸の手紙をもらう」の巻,"April 12, 1992"
119,「ノートはきれいに」の巻「ボンヤリまる子」の巻,"April 19, 1992"
120,「まる子お茶の味にうるさい」の巻,"April 26, 1992"
121,「まる子ふれあいの一人旅」の巻,"May 3, 1992"
122,「ツバメよ来い来い」の巻「クラスのお誕生日会」の巻,"May 10, 1992"
123,「動物園の写生大会」の巻,"May 17, 1992"
124,「しゃっくりが止まらない」の巻「お父さん北海道へ行く」の巻,"May 24, 1992"
125,「ヨッちゃんの彼女」の巻,"May 31, 1992"
126,「食用ガエルで大騒ぎ」の巻,"June 7, 1992"
127,「フタが開かない」の巻「まる子砂時計が欲しい」の巻,"June 14, 1992"
128,「まる子大パニック」の巻,"June 21, 1992"
129,「うれしいお中元」の巻,"June 28, 1992"
130,「商店街の七夕祭り」の巻,"July 5, 1992"
131,「まる子バーゲンの広告につられる」の巻,"July 12, 1992"
132,「明日から夏休み」の巻,"July 19, 1992"
133,「金魚すくいに情熱を」の巻,"July 26, 1992"
134,「夏休みの登校日」の巻,"Augus 2, 1992"
135,「まる子海水浴に行く」の巻,"Augus 9, 1992"
136,「蚊がうるさい」の巻,"Augus 16, 1992"
137,「巴川の花火大会」の巻,"Augus 23, 1992"
138,「まる子ゴキブリをこわがる」の巻,"Augus 30, 1992"
139,「まる子花輪クンに英会話を習う」の巻,"Sepember 6, 1992"
140,「まる子つりに行く」の巻,"Sepember 13, 1992"
141,「花輪クンに恋人が」の巻,"Sepember 20, 1992"
142,「さくら家のお月見」の巻,"Sepember 27, 1992"
1,「サッカー少年ケン太」の巻,"January 8, 1995"
